,File ID,English_name,Vocalization_type,Quality,Time,Date,X,Y,Year,year
0,402254,Rose-crested Blue Pipit,call,no score,13:30,2/8/2018,49,63,2018,2018.0
1,406171,Rose-crested Blue Pipit,call,A,7:48,6/7/2017,125,133,2017,2017.0
2,405901,Rose-crested Blue Pipit,call,A,12:00,2/8/2018,58,76,2018,2018.0
3,405548,Rose-crested Blue Pipit,song,A,11:00,3/10/2018,55,125,2018,2018.0
4,401782,Rose-crested Blue Pipit,song,A,6:00,6/29/2008,129,123,2008,2008.0
5,401720,Rose-crested Blue Pipit,call,A,13:00,12/28/2016,132,121,2016,2016.0
6,401719,Rose-crested Blue Pipit,call,A,13:00,12/28/2016,106,107,2016,2016.0
7,387404,Rose-crested Blue Pipit,call,A,10:00,9/18/2017,149,115,2017,2017.0
8,377874,Rose-crested Blue Pipit,song,A,7:43,6/11/2000,134,118,2000,2000.0
9,368493,Rose-crested Blue Pipit,call,A,12:47,3/13/2017,89,131,2017,2017.0
10,368492,Rose-crested Blue Pipit,call,A,12:45,3/13/2017,141,124,2017,2017.0
11,364567,Rose-crested Blue Pipit,song,A,7:00,4/14/2017,124,121,2017,2017.0
12,353709,Rose-crested Blue Pipit,call,A,?,10/8/2016,127,119,2016,2016.0
13,351273,Rose-crested Blue Pipit,call,A,13:00,1/17/2017,146,114,2017,2017.0
14,299736,Rose-crested Blue Pipit,call,A,8:29,5/31/2015,131,133,2015,2015.0
15,298739,Rose-crested Blue Pipit,call,A,15:00,1/9/2016,124,116,2016,2016.0
16,293916,Rose-crested Blue Pipit,call,A,9:01,6/5/2015,147,117,2015,2015.0
17,293914,Rose-crested Blue Pipit,song,A,7:19,6/5/2015,142,114,2015,2015.0
18,277989,Rose-crested Blue Pipit,song,A,20:31,5/26/2015,159,117,2015,2015.0
19,277952,Rose-crested Blue Pipit,song,A,15:34,5/26/2015,128,116,2015,2015.0
20,233383,Rose-crested Blue Pipit,call,A,11:19,3/15/2015,142,114,2015,2015.0
21,225347,Rose-crested Blue Pipit,call,A,7:23,3/15/2015,163,117,2015,2015.0
22,181907,Rose-crested Blue Pipit,call,A,17:00,3/13/2014,123,110,2014,2014.0
23,176636,Rose-crested Blue Pipit,song,A,7:40,6/6/2013,121,132,2013,2013.0
24,164501,Rose-crested Blue Pipit,song,A,17:30,5/3/1993,131,120,1993,1993.0
25,164204,Rose-crested Blue Pipit,song,A,6:00,4/30/2012,151,154,2012,2012.0
26,163385,Rose-crested Blue Pipit,call,A,15:27,1/5/2014,152,154,2014,2014.0
27,162569,Rose-crested Blue Pipit,call,A,6:00,5/26/2013,75,142,2013,2013.0
28,162567,Rose-crested Blue Pipit,call,A,17:50,5/25/2013,34,134,2013,2013.0
29,162566,Rose-crested Blue Pipit,call,A,21:18,5/25/2013,142,121,2013,2013.0
30,162564,Rose-crested Blue Pipit,song,A,21:53,5/25/2013,35,145,2013,2013.0
31,162563,Rose-crested Blue Pipit,song,A,21:05,5/25/2013,116,108,2013,2013.0
32,152971,Rose-crested Blue Pipit,song,A,6:00,6/28/2008,78,82,2008,2008.0
33,139528,Rose-crested Blue Pipit,song,A,8:00,5/30/2009,134,144,2009,2009.0
34,138985,Rose-crested Blue Pipit,song,A,?,6/18/2004,38,139,2004,2004.0
35,134557,Rose-crested Blue Pipit,song,A,11:30,5/8/2000,39,61,2000,2000.0
36,120731,Rose-crested Blue Pipit,call,A,6:00,7/21/2005,127,117,2005,2005.0
37,118322,Rose-crested Blue Pipit,call,A,15:00,1/15/2013,140,149,2013,2013.0
38,118321,Rose-crested Blue Pipit,call,A,15:20,1/15/2013,152,154,2013,2013.0
39,118320,Rose-crested Blue Pipit,call,A,15:00,1/15/2013,127,113,2013,2013.0
